,EssayTopic,EssayBody,S1,S2,S3,EssayScore
56,Money can solve all problems. Do you agree or disagree? Why?," These days, people’s life is more complex, hard, and there are some problems in it. Besides this human try to work hard to earn more money. Although some people believe money can solve all problems in the life, I disagree with it. Having money is good but expecting that it can solve the all problem is completely wrong. I believe happiness and the ability of forgiveness are the more factors that can solve the problems and can make worth living. If you learn how to be happy and also how to forgive others then you have achieved everything in your life. If you are depressed and not balanced in your life, what is the use of millions in your bank account? To conclude, money is good but it is not everything. In addition, money cannot solve all the problems of humanity. Although in the modern life it means many things. When we understand the reason of creating human, we can conclude money is one of the tools that will help human for having better life. Similarly, money is an extremely valuable tool in the newest society. It is absolutely important but it does not solve all of our problems. Money cannot buy you everlasting life. It cannot buy you good health, a life of free of disease such as cancer, heart disease, etc. In conclusion, in the modern society with complex problems money plays an important role but it cannot solve all problems. I would never say money is useless, just ask yourself, excepting money, what other things can solve your problems in the life?",5,5,5,5
57,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," Earth, our home, it is the third planet from the sun. It is the only planet which has desirable features for living of human; it has oxygen, ocean of water and of course climate change. It may happened that we have experienced different types of weather such as cold, hot or temperate. I prefer to live in the cold weather because cold weather can boost your heart and also it can lower risk of diseases and infections. First, when you are exercising in the cold weather, your heart works more to keep you warm. Working outside and exercising in the cold air is fun and also challenging. If you want to have a healthy heart and an amazing life, try to live in the cold climate. To summarize, living in the cold weather is a good option for having a heart which works properly. Second, although catching cold is still likely during cold weather, you are free from many diseases and virus that are common during warmer temperature. For example, mosquitos are known to carry a lot of diseases, but during winter they are hibernating. To sum up, although you have experienced some diseases such as catch cold or sore throat, you do not have serious diseases and infections. All in all, we live in the earth which is the third planet. It has desirable characteristics which one of them is different climates. Living in the cold weather is better than the others because it can help your heart works properly and it can lower risk of diseases and infections.",8,8,8,8
58,It is not worth going to university anymore. Do you agree or disagree? Why?," Choosing whether or not go to university is a massive decision, and ultimately it could down to one simple question; “Is it worth going to university?” I strongly disagree with the idea that going to university has no value anymore for two main reasons. By going to university you can get more knowledge in the specific area, and also you can get value experiences. The first reason for going to university is to get the higher education and to gain knowledge in an area which is essential for your future job. For example, a popular belief is that if you do not have a degree, or if you do not have specific knowledge and skill in the proper are, you will not receive proper job in the future. In short, people attend to university to study in specific area and as consequence they will find desirable job in the future. The second reason for going to university is that you get valuable experience through the study. Going to university is very different from high school; it is just like starting a new life in a new environment. You will learn adopt and take responsibility for everything to do. To sum up, by attending to university you have experienced a new life and prepare yourself for future responsibilities. All in all, apart from above reasons, people will find themselves many other good reasons why they should attend university. University can share knowledge in a special area, or university can make you a responsible person. Going to university is an important decision and in specific moment of our life, we have to make it.",8.5,8.5,8,8.5
59,It is possible to be single for all your life and be happy. We do not need to get married. Do you agree or disagree? Why?," Happiness is an emotional state characterized by feelings of joy, satisfaction, and fulfillment. While happiness different definitions, it is often describe as involving positive emotions and life satisfaction. Although it is possible to be single for all your life and be happy, I disagree with this sentence. I think with a good marriage which has some characteristics such as empathy, and forgiveness, you can be happy too. Basically, empathy is the ability to relate to how someone else is feeling – to be able to put yourself in their shoes. It is crucial for any marriage to survive with some weaknesses. When you understand your partner in difficult situations, for example, you feel his or her reactions too. Infact, by truly understanding another person, you can be happy. Another factor for being happy with marriage is forgiveness. Generally, forgiveness means you forgive your partner’s fault but not always. When you remember all mistakes in your life and always mention them, you inject bad feelings and also unhappiness emotions in your mind. In brief, by forgiveness in your life, you liberate yourself from any bad feelings. In conclusion, I think happiness may depend on someone else, or by doing or obtaining something. I think, we can be happy with marriage too. The only thing that you should to know is that you mature emotionally and physically before marriage.",5.5,5.5,5.5,5.5
60,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," Climate is one of the most important options which must be considered before choosing an environment for living. It’s because it can easily affect other environmental conditions. The question is what climate can be better for living. I personally prefer living in temperate climate. Such climatic condition brings pristine nature with excellent landscapes and consequently greater food diversity. Beautiful nature is a blessing that includes the people of temperate climates. Rain and fertile soil that pave the way for more plant growth are the benefits of this climate. Wherever the plants grow, fresh air is found too. Take the north of Iran as an example, there are plants everywhere because of the rain, summers are not too hot and winters are not too cold, and the climate is great for living in this area. As I mentioned before, the temperate climate has a great impact on the nature of an environment, and food comes from nature. Rich food in the temperate environment is obtained more and easier. Let’s go back to the previous example; In addition to the unique nature, the cities of north of Iran have the most varied foods. Finally, it should be noted that what I have said are just two of the benefits of choosing a temperate climate for living.",8.5,8,8,8
61,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," On the earth, we have four seasons, and according to that we have experienced different climate changes. For centuries people have been debating on which climate is better to live in, hot, cold, or temperate? I prefer to live in temperate climate. In this essay I will explain why I love living in not very cold and not very hot weather. Generally, living in the temperate climate will help improve your health. When the weather is perfect, it encourages you to go outside and enjoy the outdoors. People can do some hobbies such as hiking, and jogging when the weather is comfortable all days of the year. Making a life in temperate climate will extend the life of our belongings, because of this I love the temperate climate and prefer to live in this type of weather. Perhaps the reason which temperate climate can extend the life of our belongings, is that your vehicle will not be exposed to bitter cold temperatures, road salt and other rust-causing elements. This means your car will the last year longer in a warm climate. Basically, temperate climates are defined as an environment with moderate temperature; based on this definition we can understand that in the temperate climate we do not have very hot or very cold weather. So I think that there are no serious diseases in temperate weather. People, for example, who live in the hot weather suffer from heatstroke, or people who live in the very cold weather without any sun radiations suffer from osteoporosis. In short, different seasons bring different experiences and such experience is changing in the climate. Our life and also our health both influence and depend on different climate. There are some benefits in temperate climate which make it the best weather to live. Because of these advantages I prefer to live in the not very hot and not very cold weather.",8,7.5,7.5,7.5
62,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," Climate is one of the most important options which must be considered before choosing an environment for living. Because not only does it affect other environmental conditions, but also the mood of the inhabitants of a region. The question is which climate can be better for living. I personally prefer living in temperate climate. Such climatic condition brings pristine nature with excellent landscapes, pleasant weather and consequently greater food diversity. It is worth mentioning that the inhabitants of temperate regions are warm and friendly. Beautiful nature and nice weather are the blessings that include the people of temperate climates. A temperate climate has the four distinct seasons: Warm summer, cold winter, autumn and spring. Rain and fertile soil, that pave the way for more plant growth, are the benefits of this climate. Wherever the plants grow, fresh air is found too. Take the north of Iran as an example, there are plants everywhere because of the rain, summers are not too hot and winters are not too cold, and the climate is great for living in this region. As I mentioned before, the temperate climate has a great impact on the nature of an environment, and food comes from nature. Rich food in the temperate environment is obtained more and easier. Let’s go back to the previous example; In addition to the unique nature, the cities in north of Iran have the most varied, fresh and delicious foods. After all, the weather affects inhabitants as much as it affects the environment. Residents of temperate regions are relatively happy, warm-hearted and friendly. They do not resemble the inhabitants of cold regions, who are generally sad and unfriendly, or the inhabitants of warm regions, who are quick-tempered. Finally, it should be noted that what I have mentioned are just some of the benefits of choosing a temperate climate for living; this climate and its benefits can only be well understood when we experience living in it and witness with our own eyes the beauty of its nature, the diversity of its food and the intimacy of its residents.",8,8.5,8,8
63,It is possible to be single for all your life and be happy. We do not need to get married. Do you agree or disagree? Why?," Happiness is an emotional state characterized by feelings of joy, satisfaction and also fulfillment. Happiness may become dependent on someone else, or by doing or obtaining something. But when you understand the definition of happiness clearly and embody it, you make better decisions and consequently your life become enriched. Although it is possible to be single for all your life and be happy, I disagree with this idea. I believe with a good marriage, which has some characteristics such as empathy, forgiveness, trustfulness, and also respect, you can be happy and make a happy life. Empathy is the ability to relate to how someone else is feeling; in fact to be able to put yourself in their shoes. It is crucial for any marriage to survive with some weaknesses, as it is an essential part of truly understanding another person. When you understand your partner in difficult situations, for example, you feel his or her reactions too. In a word, by truly understanding another person, you can be happy and enjoy your life. Another factor for being happy with marriage is forgiveness. Obviously, forgiveness means you forgive the fault s of your partner in the life but not always. When you look back and recall all mistakes in your life, you inject the bad feelings and also unhappiness emotions in your mind. In brief, by forgiveness in your life, you liberate yourself form any bad feelings and bring joyfulness in your life. A further fact that I think with a good marriage we can be happy too is trustfulness. Basically, trust means you have a strong feeling and also belief in honest of someone. I believe mutual connection can bring trust in your maternal life. Honest is the quality o always speaking the truth and being transparent in your words and actions. When you say what you want directly, you relaxed yourself in your life and make happy moments with your partner. In brief, honesty in a relationship means always telling your partner the truth and being totally open with them. The final reason for being happy with marriage is respect. Respect means a deep understanding of thought, reactions, and opinions. By accepting that you married with person with all his or her weakness and strengths, you make respect in your life. It is better to clarify your wants from your married life. In short, respect means you accept your partner and try to make your life based on admiration that can bring happiness. To recapitulate, it is possible to have the times when you are single, but with the good marriage you can strength happiness too. Marriage means you accept your new life with your partner and try to be happy.",6,6,6,6
64,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," Climate is one of the most important options which must be considered before choosing an environment for living. It’s because it can easily affect other environmental conditions. The question is what climate can be better for living. I personally prefer living in temperate climate. Such climatic condition brings pristine nature with excellent landscapes and consequently greater food diversity. Beautiful nature is a blessing that includes the people of temperate climates. Rain and fertile soil that pave the way for more plant growth are the benefits of this climate. Wherever the plants grow, fresh air is found too. Take the north of Iran as an example, there are plants everywhere because of the rain, summers are not too hot and winters are not too cold, and the climate is great for living in this area. As I mentioned before, the temperate climate has a great impact on the nature of an environment, and food comes from nature. Rich food in the temperate environment is obtained more and easier. Let's go back to the previous example; In addition to the unique nature, the cities of north of Iran have the most varied foods. Finally, it should be noted that what I have said are just two of the benefits of choosing a temperate climate for living.",6.5,7,7,7
65,It is possible to be single for all your life and be happy. We do not need to get married. Do you agree or disagree? Why?," Happiness is an emotional state characterized by feelings of joy, satisfaction, and fulfillment. While happiness different definitions, it is often describe as involving positive emotions and life satisfaction. Although it is possible to be single for all your life and be happy, I disagree with this sentence. I think with a good marriage which has some characteristics such as empathy, and forgiveness, you can be happy too. Basically, empathy is the ability to relate to how someone else is feeling – to be able to put yourself in their shoes. It is crucial for any marriage to survive with some weaknesses. When you understand your partner in difficult situations, for example, you feel his or her reactions too. Infact, by truly understanding another person, you can be happy. Another factor for being happy with marriage is forgiveness. Generally, forgiveness means you forgive your partner’s fault but not always. When you remember all mistakes in your life and always mention them, you inject bad feelings and also unhappiness emotions in your mind. In brief, by forgiveness in your life, you liberate yourself from any bad feelings. In conclusion, I think happiness may depend on someone else, or by doing or obtaining something. I think, we can be happy with marriage too. The only thing that you should to know is that you mature emotionally and physically before marriage.",7,7,7,7
66,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," On the earth, we have four seasons, and according to that we have experienced different climate changes. For centuries people have been debating on which climate is better to live in, hot, cold, or temperate? I prefer to live in temperate climate. In this essay I will explain why I love living in not very cold and not very hot weather. Generally, living in the temperate climate will help improve your health. When the weather is perfect, it encourages you to go outside and enjoy the outdoors. People can do some hobbies such as hiking, and jogging when the weather is comfortable all days of the year. Making a life in temperate climate will extend the life of our belongings, because of this I love the temperate climate and prefer to live in this type of weather. Perhaps the reason which temperate climate can extend the life of our belongings, is that your vehicle will not be exposed to bitter cold temperatures, road salt and other rust-causing elements. This means your car will the last year longer in a warm climate. Basically, temperate climates are defined as an environment with moderate temperature; based on this definition we can understand that in the temperate climate we do not have very hot or very cold weather. So I think that there are no serious diseases in temperate weather. People, for example, who live in the hot weather suffer from heatstroke, or people who live in the very cold weather without any sun radiations suffer from osteoporosis. In short, different seasons bring different experiences and such experience is changing in the climate. Our life and also our health both influence and depend on different climate. There are some benefits in temperate climate which make it the best weather to live. Because of these advantages I prefer to live in the not very hot and not very cold weather.",6.5,7,7,7
67,What are the most important challenges or problems of university life?," Studying at university is certainly fraught with problems that students have to deal with. Starting university is like starting a new life. There are various challenges that every student inevitably struggles with during university life, which most students are not prepared for and end up being overwhelmed. In my opinion, among all these problems, difficulty in social communicating and time management are common to all students. The inability to communicate socially in a larger and newer environment than school can be the first problem which some students, especially freshmen and shy ones, face. Inability to find friends and communicate with classmates can lead to problems such as depression. For this reason, if a student takes the first step well, he/she can deal with some of the other problems more easily. Inability to manage time and use it properly is the second problem that university students often face. For many, college courses require much more effort; from trying to study to living alone and doing the required chores, most of the students are not able to manage and think about their time and do not have enough concentration due to lack of sleep because they do not have enough time to do their activities. Proper planning is the most important action that a student can take to reduce irregularities. Naturally, every student faces difficulties in university life which he/she has to deal with in order to get through his/her studies well. If the student is sufficiently prepared and strong to face problems, he will not suffer from problems. But most students who do not have the ability to overcome the problems not only become depressed but also, they end up choosing to drop out of university.",8.5,8.5,8.5,8.5
68,Topic," I am going to write about how the amount of crime is increasing in many countries and why. Nowdays there are many countries has increasing on the amount of crime and I think the problem is that most of the crim has done by the young people which is under 18 and from the age - you can see and you can understand what is going on but in my openion I think the main causes is the family and the school, the family I mean the mum an dad they have to look after theire tenagers until they grow up and do not let them watch films which has a fight or blod, the school is the same as the second house for the tenagers and they have to teach them how to grow up in good way and teach them how to respect the old people. For example I have been told from my oldest brother that in the UK 2 years ago a boy from Qatar he is 16 years old has killed bv groube of tenagers in Haisting and they killed him without any reasons and when the Police asked them why did you do that they said we want to show of we are the best. So you can say they learn from the action movies. Finally I hope all the people can help the tenagers to give them advice and to let them know what will happen after the crime. Also in schools they must teach them how to avoied the bad movies and to grow up in safe way.",5,5,5,5
69,Topic," What’s the happiest time in people’s lives: youth or old age; school, career or retirement? All of these have been suggested, but teenage years and adulthood both have many supporters. Those who believe teenagers are the happiest people cite their lack of responsibilities as a significant factor. They are supported financially and emotionally by their parents, and although they may be included in family decisions, they’re not ultimately responsible. However, adolescents are on the threshold of adult life: they’re old enough to get a part-time job, so they can enjoy their first taste of financial independence, and their future study and career lie ahead. Away from these serious concerns, young people have an active social life with their friends, often simply by hanging out with them. And of course, there’s the excitement of first love and first heartbreak. With all this to experience, teenagers see their parents’ lives as boring and stressful. However, the reverse is also true. Adults see anxious, self-dramatising adolescents, and appreciate the joys of maturity. These may include a contented family life, long-lasting friendships and a career. Long-term relationships may not have the fireworks of adolescence, but are stronger for it, because of the wealth of shared experience. At work, many of us are challenged and stimulated by the increasing professional skills we acquire, which ensures that our jobs remain interesting. The greatest benefit, though, is that maturity gives you greater confidence in your own judgement, in all areas of life. You’re not afraid to express your opinion when others disagree and, unlike a teenager, you know when to let things go. Both these periods can be happy times, but I look back at my own teenage years with no desire to go back. Adult life may be less dramatic, but fireworks don’t keep you warm.",9,9,9,9
70,Topic," What knowledge and skills should universities provide has been argued for many years. Some people think that true function of universities provide knowledge for their own purpose, but nowadays. more and more people point out that universities should provide graduates with the knowledge and skills according to the workplace.  The first reason for universities should provide these knowledge and skill is the students' needs. Obviously, the most of the students go to university purpose of is to get some knowledge and skills which could make them have the ability to get a job. I f a university does not provide these knowledge and skills, the students might not get a job and they would be very disappointed. As a result, the university would lose its students.  Moreover, providing knowledge and skills needed in the workplace Laks a university progress. 'lhe new skills and information always are initiated in the workplace, so focusing on the needs of the workplace the university could get sound strategies to do research and make it more mordenization.  Lastly, providing these knowledge and skills could benefit our country which usually gives a financial support to universities. Having these knowledge and skills, students are more easy to get a job, and this can make our countries economy strong.  In conclusion, it can be said that providing the knowledge and skills which the workplace needs is every universities basic function.",8.5,8.5,8.5,8.5
71,Topic," Nowadays many adults have full-time jobs and the proportion of their lives spent doing such jobs is very high. So feelings about one’s job must reflect how an individual feels about his or her life as a whole, and because of this, job satisfaction is indeed very important for the wellbeing of that person.  Employees get job satisfaction in a number of ways. Firstly, a person needs to feel that they are doing valued and valuable work, so positive feedback from superiors is very important in this respect. A sense of fulfilment is also encouraged if a worker feels the job is worth doing because it contributes to the society or the economy as a whole. Secondly, when someone feels they are improving or developing their skills through training opportunities, for example, then there is a sense of progression and purpose that rewards a worker. The sense of belonging to a team or a working community also contributes to job satisfaction because colleagues help each other to enjoy their working lives. Satisfaction is also increased by a sense of responsibility for and loyalty to a team.  Of course not everyone enjoys their work. Hard economic realities mean that many people have little choice in the kind of job they can get. In some cases an employee is working in a job that suits neither their skills nor their personality. Some jobs are repetitive and boring, and labour relations may be poor and lead to resentment and insecurity rather than to job satisfaction.  However, even though it is unlikely that all workers do feel happy in their work, I think it is not unrealistic to promote more job satisfaction in any job. If the factors identified above are implemented, then any job can be improved and more workers can feel greater degrees of job satisfaction.",8.5,8.5,8.5,8.5
72,Topic," Being a celebrity was not always the easiest way of life. Of course besides all the advanteges of being rich, loved and being famous there are many disadvantiges, that we have to take into consideration. So, alter all it is a guite hard question, and we cannot give an easy answer.  Let's just think of the celebrities, and try to get a few benefits of being well-known. Some of them had had a very long way until they reached their part of life when they are celebrities.  But if we just look into their everydays, we can say that they have a very good accommodation and lifestyle: they have an income of what everyone is dreaming, they live in huge houses, they can buy all the cars they want.  But as the saying says: ftioney is nothing, even they are rich, their persona! life is not always so beautiful as it seems. Let’s just remember the famous teenager singer Britney Spears. In the begining she was just like a young girl that everyone wanted to follow. But as time went on, she had some growing personal life problems. She was seen in nightclubs wearing the least dress, once she cut her hair bald, she had alcohol and drug problems. Anyway, being a celebrity is not often easy and beautiful!  Let's just mention the paparazzos. A celebrity cannot go outside his/her house to pick his/her morning newspaper without being photographed. They have to be very careful about their private life, because their fans are following them, and they always have to behehave perfectly! And since no one of us is perfect, their fans are gute often disappointed.  After all, taking into the consideration all the advanteges and disadvantiges, we should say that being a celebrity is not always easy!",6,6,6,6
73,Topic," It is true that many parents purchase a multitude of playthings for their offspring. Whether or not this is a good thing for the child, is a moot point. On the face of it the advantages seem most apparent, but could there be a downside to this phenomenon of devoted parenting as well?  Most people would consider children who have many toys to be the fortunate ones. Interesting things to play with stimulate many positives in the young boy or girl, such as optimum brain development, hand-eye coordination and colour recognition, apart from the simple joy of playing. Modern toys are designed to be educational as well as fun, and concerned parents carefully select products which might speed their child’s acquisition of numbers or the alphabet.  Is it possible that owning multiple toys could be in any way detrimental to a child? This is an unusual question, but there are some hidden pitfalls. For one, wealthy parents might spoil their son or daughter by showering him/her with toys, resulting in a negative effect on the child’s character. For another, a growing child’s concentration span may suffer if they are constantly surrounded by too many tempting objects, so that they become unable to focus on any one game for a decent length of time before being distracted. On the social side, older children may become targets of envy from classmates, if they are perceived as having far more possessions than their peers. Finally, the majority of toys today are made of plastic which commonly contains the chemical BPA, proven to be dangerous for infants to suck on or ingest.  It is clear then that this situation is not as straightforward as it first appears. It would seem that one of the many duties of parents is to make an informed choice about how many toys they buy for their young ones.",8.5,8.5,9,8.5
74,It is not worth going to university anymore. Do you agree or disagree? Why?," Deciding whether going to college is worth or not can have a huge impact on a person’s life, because one has to live with the consequences of this important decision for the rest of his/her life. Nowadays, many people accept university education, because they believe that it is an important part of becoming successful. Most of the students who pursue a bachelor’s degree, end up reaping the benefits, whether they’re personal or financial. A college is a pretty golden opportunity to meet people. Being on campus, exposes people to different perspectives and ideas, and meeting people with different backgrounds and perspectives results in greater open-mindedness and a more worldview. What’s special about a college environment is that you’re living with hundreds of people who are around your age, probably for the first and only time in your life. People with a college degree are more likely to find the job they are looking for and thus grow their economy and earn money. Employers may assume a person is better qualified for higher-paying jobs if he/she has a degree even if the degree isn’t related to what he/she has be doing on the job. On average, people with college degrees make more than people without college degrees. Overall, there are so many potential benefits that come with a university education. University can be very essential towards life, because it can provide job security, better career opportunities and a stable future. Some people even believe that it can provide the life that many people wish and dream of achieving.",6.5,6.5,6.5,6.5
75,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," Human live in the earth, as result they have experienced different climates such as: Cold, warm, or temperate. Although I was born in the cold weather, I prefer to live in warm, or it is better to say, I prefer to live in temperate weather. I have some reasons for my claim, such as : living in temperate climate can speed the working rate, or living in this type of weather is more healthy than the other ones. But we should not ignore some bad effects too. There are some positive points in living in temperate climate. Because in this type of weather you do not have too warm or too cold days, you can properly in your workplace. Another positive point of temperate climate is that it does not have crucial diseases; for example living in warm climate can bring some disease for human such as dehydrate human’s body. Living in cold climate is the same, it can bring some sicknesses such as: catching cold, sore throat. Although I prefer to live in temperate climate, there is negative point too. Living in temperate weather can bring some weakness for your body, or it is better to say it can reduce the working of the human’s organs, because these organs in human’s body need different temperatures. In the conclusion, I prefer to live in the not very cold and not very warm weather. But first I should pay attention to the outcomes of this type weather and then chose the life style for it.",7.5,7,7,7
76,It is not worth going to university anymore. Do you agree or disagree? Why?," Deciding whether going to college is worth or not can have a huge impact on a person’s life, because one has to live with the consequences of this important decision for the rest of his/her life. Nowadays, many people accept university education, because they believe that it is an important part of becoming successful. Most of the students who pursue a bachelor’s degree, end up reaping the benefits, whether they’re personal or financial. A college is a pretty golden opportunity to meet people. Being on campus, exposes people to different perspectives and ideas, and meeting people with different backgrounds and perspectives results in greater open-mindedness and a more worldview. What’s special about a college environment is that you’re living with hundreds of people who are around your age, probably for the first and only time in your life. People with a college degree are more likely to find the job they are looking for and thus grow their economy and earn money. Employers may assume a person is better qualified for higher-paying jobs if he/she has a degree even if the degree isn’t related to what he/she has be doing on the job. On average, people with college degrees make more than people without college degrees. Overall, there are so many potential benefits that come with a university education. University can be very essential towards life, because it can provide job security, better career opportunities and a stable future. Some people even believe that it can provide the life that many people wish and dream of achieving.",8.5,8,8,8
77,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," If I want to choose a climate for living in the place or in a city, I will choose a mild climate. I prefer mild climate because two reason bother me; very cold wheather and terrible hot wheather. The places that is very cold isn’t suitable for living. one reason is that some people have their special body nature who can’t live in very cold wheather. another reason is that there are many country and many city wich has no advanced facilities in their aparments when the wheather become snowy and very cold; So it.....turn off the electricite , gas and water. another reason that I don’t choose very cold city is the people in very cold country are depressed because they see sun a little day in year. Hot wheather isn’t good wheather for living. Some body because their body nature can’t live in that and they may become ill . in very hot weather we need advanced stuff for reducing the temperature of the atmosphere.",5,5,5,5
78,Topic," One important stage in a child’s growth is certainly the development of a conscience, which is linked to the ability to tell right from wrong. This skill comes with time and good parenting, and my firm conviction is that punishment does not have much of a role to play in this. Therefore I have to disagree almost entirely with the given statement.  To some extent the question depends on the age of the child. To punish a very young child is both wrong and foolish, as an infant will not understand what is happening or why he or she is being punished. Once the age of reason is reached however, a child can be rewarded for good behaviour and discouraged from bad. This kind but firm approach will achieve more than harsh punishments, which might entail many negative consequences unintended by the parents.  To help a child learn the difference between right and wrong, teachers and parents should firstly provide good role modelling in their own behaviour. After that, if sanctions are needed, the punishment should not be of a physical nature, as that merely sends the message that it is acceptable for larger people to hit smaller ones - an outcome which may well result in the child starting to bully others. Nor should the punishment be in any way cruel.  Rather, teachers and parents can use a variety of methods to discipline their young charges, such as detention, withdrawal of privileges, and time-out. Making the punishment fit the crime is a useful notion, which would see children being made to pick up rubbish they have dropped, clean up graffiti they have drawn, or apologise to someone they have hurt. In these ways responsibility is developed in the child, which leads to much better future behaviour than does punishment.",8.5,8.5,8.5,8.5
79,Topic," All of us, agree that all University students have maind can They use to think and choose a way life. The governments need to be better in the future.  The big quistion? How can we fund the answer to relaize interested students and the goverments?  First of all, who the some people think that all university students should study whatever they like. There are experts. The experts could be give us the result suitable for the students, and drew for Them the good choose. also, should be The goverment put plan for future. for example, How many pailot, How many teacher or tuter the country need. Moreover, In schools, help students for choose what they like of job. Furthermore, coumet all the Minstor togather. (togather much better)  on the other hand, I thonk not good idea a drew the way for students. such as, take who finsh study in school to soubject we like Not what he like. and thes same as me. when I was student, me tuter told mer “please study computer science”, and my do not like computer science. Now, I will study another subject. I have aim and I can do what I like. I agree with people. who siad only be allowed to studyy subjects that will be useful in the future.  in conclusion, I would like to say that the students have maind. They with our recommend to them. They will be live one of the good lives in countries also the science and technology plays rule important in our life.  I hop you",5,5,5,5
80,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," I choose temperate climate for living in a place. Temperate climate has more advantages than other climate and cold and warm weather has many disadvantages that they are not exist in mild or temperate climate. Because of these reasons that I explain each of them, I prefer temperate climate. There are numerous advantages for temperate climate. Countries with mild climate usually have four seasons and their beauties. People enjoy from watching the nature of the earth, for example: the spring’s flowers views the summer’s fruites, the fall’s colourfull trees view, fall’s rain and snowy wheather in winter. Another season’s beauties is existence of special and tasty fruits in every season severally, specially in summer such as water melon, peach, cheery, fig and so on; There are pomegranate, persimmon, and etc in fall and greengage, strawberry are spring popular friutes. If we have four season and temperate climate country , we will enjoy from some special sports which are in winter such as mountaineering, skiing and which are in summer such as swimming, fishing, and etc. Whatching and felling nature’s beauties in every season is a strong and good reason for living in temperate climate. Living in cold or warm climate have some problems and disadvantages that many people do not prefer to live in that. Some people have their special body nature who can not live in very cold or very warm weather because they may be sick. Catch cold in cold climate and heatstroke in very warm and sultry climate are very common. In very cold climate people usually are depressed and sad because the sun shines less and they usually have lack of vitamin D. The apartments should have advanced facilities for raising or reducing the temperature both in cold climate and warm climate, otherwise they usually worry about gas cut off and power outage. Totally very cold or very hot climate offend the citizens of the cities or the countries. The mild and temperate climate is suitable for living in everywhere. In temperate climate, we do not have any speciall worry or fear about lack of some thing to survive; we can enjoy from season’s beauties. Altogether, I think mild climate has many advantages where is reasonable for living.",8,8,8,8
81,It is not worth going to university anymore. Do you agree or disagree? Why?," Choosing whether or not to go to university is a massive decision. It can have a huge impact on a person’s life, because one has to live with the consequences of this important decision for the rest of his/her life. Nowadays, many people accept university education, because they believe that it is an important part of becoming wealthy and successful. There are so many potential benefits that come with a college education. I, personally, believe that the most important benefits of going to university are job prospects as well as an effective development of social relations. Having a higher education degree provides people more job prospects. Those, who have the degree, are more likely to find the job they are looking for and thus grow their economy and earn money. Employers may assume a person is better qualified for higher-paying jobs if he/she has a degree even if the degree is not related to what he/she has be doing on the job. On average, people with college degrees make more than people without college degrees. University is not all about the job prospects, it is also a golden opportunity to meet new people. Being on campus, exposes people to different perspectives and ideas, and meeting people with different backgrounds and perspectives results in greater open-mindedness and a more worldview. What is special about a college environment is that you’re living with hundreds or even thousands of people who are around your age, probably for the first and only time in your life. Overall, there are so many potential benefits that come with a university education. University can be very essential towards life, because it can provide job security, better career opportunities and a stable future. It also gives people the opportunity to develop their personal and professional interests. Many students head off to school with no idea what they want to do with their lives; University gives them a chance to try out different fields. Some people even believe that it can provide the life that many people wish and dream of achieving.",8,8.5,8,8
82,Money can solve all problems. Do you agree or disagree? Why?," The power of money in solving important and fundamental problems of life is transient and permanent. There is a general belief, especially among poor people, that every problem can be solved by money. Having money is great; It is true that the role of it, in meeting some basic human needs is undeniable, but I personally believe that it is primitive and wrong to think that money is the solution to all problems, because there are some disease-related and emotion-based problems that cannot be met through money. There are various incurable and sometimes fatal diseases, which unfortunately cannot be cured even by paying a large amount of money. Diseases such as diabetes, AIDS, some cancers, mental illnesses such as schizophrenia and genetic diseases such as Down syndrome and autism have yet to be cured. Many people, all over the world, suffer from such diseases, but money cannot save or cure them. Not only physical illnesses but also many mental and emotional problems cannot be solved with money. For someone who feels lonely, money does not accompany or for those who suffer from depression, money does not bring happiness. There are those who got divorced and unfortunately no amount of money can ever fix relations between people. There are many mental and emotional problems that money can never solve. Overall, Money is just a tool which is used for living and making things easier, however, in fact, it does not solve all problems. Money will sort out financial stresses a person may have, but obviously it cannot buy him/her happiness and will not sort out all emotional and pathological problems; definitely it cannot buy a person contentment with his/herself. So, money may lessen problems, but it does not solve all.",8.5,9,8.5,8.5
